"CODIGOMATERIA","MATERIA","DIFICULTAD"
ADMG2036       ,PLANIFICACIÓN ESTRATÉGICA,8.43
ADMG2037       ,GESTIÓN DE PROYECTOS,8.67
ADMT3004       ,LIDERAZGO Y EMPRENDIMIENTO,8.67
ADMT3005       ,COMERCIO EXTERIOR,7.89
ADSG1019       ,CONTAMINACIÓN AMBIENTAL,8.52
ADSG1020       ,ECOLOGÍA ACUÁTICA,8.50
ADSG1021       ,ECOLOGÍA DE ECOSISTEMAS,8.78
ADSG1022       ,ECOLOGÍA GENERAL,8.37
ADSG1023       ,REMEDIACIÓN AMBIENTAL,9.55
ADSG1024       ,PRINCIPIOS DE ECOTOXICOLOGÍA,8.34
ADSG1025       ,"GESTIÓN DE CALIDAD, AMBIENTE Y SEGURIDAD EN LA INDUSTRIA",8.13
ADSG1026       ,CIENCIAS DE LA SOSTENIBILIDAD,8.18
ADSG1029       ,TRATAMIENTO DE AGUAS,7.95
ADST3002       ,CIENCIAS AMBIENTALES,8.64
AGRG1022       ,AGRICULTURA DE PRECISIÓN,7.49
AGRG1023       ,AGROECOSISTEMAS,8.22
AGRG1024       ,DIAGNÓSTICO Y PROTECCIÓN VEGETAL II,8.50
AGRG1025       ,DIAGNÓSTICO Y PROTECCIÓN VEGETAL I,8.14
AGRG1026       ,EDAFOLOGÍA,8.31
AGRG1027       ,FISIOLOGÍA VEGETAL,8.04
AGRG1028       ,GESTIÓN DE UNIDADES DE PRODUCCIÓN AGROPECUARIA,8.80
AGRG1029       ,MATERIA INTEGRADORA DE INGENIERÍA AGRÍCOLA Y BIOLÓGICA,9.60
AGRG1030       ,MECANIZACIÓN AGRÍCOLA,7.99
AGRG1032       ,PRODUCCIÓN VEGETAL I,8.36
AGRG1033       ,PRODUCCIÓN VEGETAL II,7.83
AGRG1035       ,RIEGO Y DRENAJE,7.90
AGRG1036       ,SILVICULTURA,6.60
AGRG1037       ,NUTRICIÓN VEGETAL,8.24
AGRG1038       ,PRODUCCIÓN PECUARIA II,8.14
AGRG1039       ,PRODUCCIÓN PECUARIA I,8.24
AGRG1040       ,PRODUCCIÓN VEGETAL III,7.90
AGRG1041       ,SEMILLEROS Y VIVEROS,7.14
ALIG1029       ,ANÁLISIS DE ALIMENTOS,8.27
ALIG1030       ,BIOQUÍMICA ALIMENTARIA,8.34
ALIG1031       ,CONTROL DE CALIDAD Y EVALUACIÓN SENSORIAL DE ALIMENTOS,7.67
ALIG1032       ,DESARROLLO DE NUEVOS PRODUCTOS ALIMENTICIOS,8.13
ALIG1033       ,DISEÑO DE PLANTAS ALIMENTARIAS,8.78
ALIG1034       ,DISEÑO DE PROCESOS TÉRMICOS I,7.56
ALIG1035       ,DISEÑO DE PROCESOS TÉRMICOS II,8.49
ALIG1036       ,FERMENTACIÓN Y ENZIMOLOGÍA ALIMENTARIA,8.32
ALIG1037       ,FUNDAMENTOS DE LA INGENIERÍA EN ALIMENTOS,7.54
ALIG1038       ,INGENIERÍA DE PROCESOS ALIMENTARIOS,8.24
ALIG1039       ,INOCUIDAD ALIMENTARIA,7.55
ALIG1040       ,MATERIA INTEGRADORA DE ALIMENTOS,9.09
ALIG1041       ,MICROBIOLOGÍA DE ALIMENTOS,6.88
ALIG1042       ,OPTIMIZACIÓN Y SIMULACIÓN DE PROCESOS ALIMENTARIOS,8.35
ALIG1043       ,PROCESAMIENTO DE FARINÁCEOS Y OLEAGINOSAS,8.56
ALIG1044       ,PROCESAMIENTO DE FRUTAS Y VEGETALES,8.34
ALIG1045       ,PROCESAMIENTO DE LÁCTEOS,8.18
ALIG1046       ,"PROCESAMIENTO DE CÁRNICOS, PESCADOS Y MARISCOS",8.16
ALIG1047       ,SANIDAD E HIGIENE ALIMENTARIA,7.68
ALIG1050       ,QUÍMICA ALIMENTARIA,7.71
ARQG2020       ,ANTROPOLOGÍA BIOLÓGICA,7.89
ARQG2021       ,ARQUEOLOGÍA DE MESOAMÉRICA,8.09
ARQG2022       ,BIOARQUEOLOGÍA,8.27
ARQG2023       ,PROYECTOS DE INVESTIGACIÓN ARQUEOLÓGICA,8.65
ARQG2024       ,MATERIA INTEGRADORA EN ARQUEOLOGÍA,9.06
ARQG2025       ,ARQUEOLOGÍA DEL ECUADOR II,7.73
ARQG2026       ,LABORATORIO DE ARQUEOLOGÍA II,8.63
ARQG2028       ,CAMPO DE ANTROPOLOGÍA SOCIOCULTURAL II,8.02
ARQG2029       ,LABORATORIO DE ARQUEOLOGÍA I,8.74
ARQG2030       ,CAMPO DE ARQUEOLOGÍA I,8.38
ARQG2031       ,ARQUEOLOGÍA ANDINOAMERICANA,7.55
ARQG2032       ,ARQUEOLOGÍA DE LAS TIERRAS BAJAS DE SUDAMÉRICA Y DEL CARIBE,7.90
ARQG2033       ,ARQUEOLOGÍA DEL ECUADOR I,7.96
ARQG2034       ,ARQUEOLOGÍA DEL VIEJO MUNDO,7.75
ARQG2035       ,ARQUEOLOGÍA SOCIAL LATINOAMERICANA,7.91
ARQG2036       ,CAMPO DE ANTROPOLOGÍA SOCIOCULTURAL I,7.92
ARQG2037       ,ORÍGENES DE LOS ESTADOS PREHISPÁNICOS,8.68
ARQG2038       ,PRIMER POBLAMIENTO AMERICANO,7.55
ARQG2039       ,TEORÍA ANTROPOLÓGICA Y ARQUEOLÓGICA,7.87
ARQG2040       ,GEOMÁTICA,8.33
ARQG2041       ,GEOGRAFÍA FÍSICA,8.10
ARQG2042       ,INTRODUCCIÓN A LA ANTROPOLOGÍA Y ARQUEOLOGÍA,8.11
ARQG2043       ,CAMPO DE ARQUEOLOGÍA II,8.63
ARTG2023       ,ARTE Y CIENCIA,8.72
ARTG2024       ,ARTE Y TECNOLOGÍA,8.68
ARTG2025       ,DIBUJO  I,8.27
ARTG2026       ,DIBUJO II,7.87
ARTG2028       ,HISTORIA DEL ARTE,8.06
ARTG2029       ,HISTORIA DEL CINE,7.58
ARTG2030       ,INVESTIGACIÓN AUDIOVISUAL,8.14
ARTG2032       ,TALLER DE ILUSTRACIÓN,8.41
ARTG2033       ,TÉCNICAS PICTÓRICAS,8.53
AUDG2026       ,AUDITORÍA DE SISTEMAS INTEGRADOS,9.70
AUDG2027       ,AUDITORÍA FINANCIERA I,8.90
AUDG2028       ,AUDITORÍA FINANCIERA II,8.30
AUDG2030       ,AUDITORÍA OPERACIONAL,7.87
AUDG2032       ,CONTABILIDAD AVANZADA,7.39
AUDG2033       ,CONTABILIDAD DE COSTOS,8.56
AUDG2034       ,CONTABILIDAD FINANCIERA,8.19
AUDG2035       ,CONTABILIDAD I,8.84
AUDG2036       ,CONTABILIDAD II,8.30
AUDG2037       ,CONTABILIDAD III,7.45
AUDG2038       ,CONTROL INTERNO,9.20
AUDG2039       ,FUNDAMENTOS DE AUDITORÍA,8.45
AUDG2040       ,MATERIA INTEGRADORA DE AUDITORÍA Y CONTROL DE GESTIÓN,9.74
AUDG2041       ,PRÁCTICA TRIBUTARIA,8.66
AUDG2042       ,SISTEMAS DE CONTROL DE GESTIÓN,9.64
AUDG2043       ,INTRODUCCIÓN A LAS TÉCNICAS DE AUDITORÍA,8.53
AUDG2044       ,GESTIÓN DE LA PRODUCTIVIDAD,8.59
BIOG1021       ,BIOLOGÍA CELULAR Y MOLECULAR,8.35
BIOG1022       ,BIOLOGÍA GENERAL,8.35
BIOG1023       ,FISIOLOGÍA ANIMAL,8.29
BIOG1024       ,BIOQUÍMICA,8.51
BIOG1025       ,INTRODUCCIÓN A LAS HERRAMIENTAS ÓMICAS,9.48
BIOG1026       ,INVESTIGACIÓN EN CIENCIAS DE LA VIDA,8.75
BIOG1027       ,MATERIA INTEGRADORA DE BIOLOGÍA,9.38
BIOG1028       ,MICROBIOLOGÍA GENERAL,8.39
BIOG1029       ,VIROLOGÍA,7.61
BIOG1030       ,BIOINFORMÁTICA,8.33
CADG2025       ,ANIMACIÓN I,7.73
CADG2026       ,ANIMACIÓN II,7.83
CADG2027       ,DIRECCIÓN AUDIOVISUAL,8.59
CADG2028       ,DIRECCIÓN ESCÉNICA,7.96
CADG2029       ,DISEÑO DE PRODUCCIÓN,8.43
CADG2030       ,EDICIÓN Y MONTAJE,8.31
CADG2031       ,FOTOGRAFÍA PARA MEDIOS,7.54
CADG2032       ,GUION,8.13
CADG2033       ,LEGISLACIÓN AUDIOVISUAL,7.20
CADG2034       ,NARRATIVA AUDIOVISUAL,9.10
CADG2035       ,POSTPRODUCCIÓN,8.57
CADG2036       ,PREPRODUCCIÓN,8.49
CADG2037       ,PRODUCCIÓN EJECUTIVA,7.18
CADG2038       ,PRODUCCIÓN PARA NUEVOS MEDIOS,8.12
CADG2039       ,PROYECTO AUDIOVISUAL I,8.40
CADG2040       ,PROYECTO AUDIOVISUAL II,8.40
CADG2042       ,DISEÑO DE SONIDO,7.33
CADG2043       ,MATERIA INTEGRADORA DE PRODUCCIÓN PARA MEDIOS DE COMUNICACIÓN,8.87
CADG2045       ,FOTOGRAFÍA DIGITAL,8.80
CADG2046       ,VIDEOGRAFÍA,7.67
CCAG1002       ,EXTENSIONISMO,9.08
CCAG2021       ,SEMIÓTICA,8.12
CCAG2022       ,ESTUDIO DE CASOS DE CIENCIAS SOCIALES,8.83
CCAG2023       ,SOCIOLOGÍA,8.63
CCPG1034       ,ESTRUCTURAS DE DATOS,7.71
CCPG1035       ,MATERIA INTEGRADORA DE COMPUTACIÓN,9.25
CCPG1036       ,ANÁLISIS DE ALGORITMOS,7.61
CCPG1039       ,COMPUTACIÓN Y SOCIEDAD,8.31
CCPG1041       ,DIRECCIÓN DE PROYECTOS INFORMÁTICOS,7.53
CCPG1042       ,DISEÑO DE SOFTWARE,7.71
CCPG1043       ,FUNDAMENTOS DE PROGRAMACIÓN,7.45
CCPG1044       ,INTELIGENCIA ARTIFICIAL,7.22
CCPG1046       ,INTERACCIÓN HUMANO COMPUTADOR,8.23
CCPG1048       ,METODOLOGÍA DE LA INVESTIGACIÓN EN COMPUTACIÓN,7.75
CCPG1049       ,ORGANIZACIÓN DE COMPUTADORES,8.16
CCPG1051       ,PROGRAMACIÓN DE SISTEMAS,7.72
CCPG1052       ,PROGRAMACIÓN ORIENTADA A OBJETOS,7.69
CCPG1053       ,SEGURIDAD DE LA INFORMACIÓN,9.11
CCPG1054       ,SISTEMAS DE INFORMACIÓN,8.30
CCPG1055       ,SISTEMAS DISTRIBUIDOS Y COMPUTACIÓN EN LA NUBE,8.44
CCPG1056       ,SISTEMAS OPERATIVOS,7.37
CCPG1058       ,SISTEMAS DE INFORMACIÓN APLICADOS A LOGÍSTICA,8.18
CCPG1059       ,AUDITORÍA DE SISTEMAS DE INFORMACIÓN,8.79
CCPG1801       ,FUNDAMENTOS DE PROGRAMACIÓN,7.36
CCPG1803       ,PROGRAMACIÓN ORIENTADA A OBJETOS,7.63
CCPT3003       ,OPERACIÓN DE COMPUTADORES,9.21
CCPT3004       ,FUNDAMENTOS DE COMPUTACIÓN,8.22
CIVG1034       ,ANÁLISIS ESTRUCTURAL,7.67
CIVG1035       ,DIBUJO TÉCNICO Y PLANOS,8.18
CIVG1036       ,DISEÑO DE PAVIMENTOS,8.09
CIVG1037       ,DISEÑO DE PUENTES,8.00
CIVG1038       ,DISEÑO DE VÍAS,7.63
CIVG1039       ,DISEÑO ESTRUCTURAL,7.94
CIVG1040       ,ESTRUCTURAS METÁLICAS,7.42
CIVG1041       ,GESTIÓN DE OBRAS CIVILES,8.96
CIVG1043       ,HIDROLOGÍA,7.87
CIVG1044       ,HIDRÁULICA,7.29
CIVG1045       ,HORMIGÓN ARMADO,7.77
CIVG1046       ,HORMIGÓN PREFORZADO,8.18
CIVG1047       ,HORMIGÓN Y MATERIALES DE CONSTRUCCIÓN,8.26
CIVG1049       ,INGENIERÍA DE CIMENTACIÓN,7.93
CIVG1050       ,INGENIERÍA DE LA CONSTRUCCIÓN,8.72
CIVG1053       ,INSTALACIONES,8.75
CIVG1054       ,MATERIA INTEGRADORA DE INGENIERÍA CIVIL,9.27
CIVG1055       ,POTABILIZACIÓN Y TRATAMIENTO DEL AGUA,7.98
CIVG1056       ,RESISTENCIA DE MATERIALES,7.55
CIVG1058       ,SISTEMAS DE RECOLECCIÓN Y DISTRIBUCIÓN DE AGUA,7.45
CIVG1059       ,TOPOGRAFÍA,8.62
CIVG1060       ,MECÁNICA DE SUELOS Y ROCAS,7.46
COMG2002       ,TEORÍA DE LA COMUNICACIÓN,7.73
DIGG2023       ,DIRECCIÓN DE ARTE,7.68
DIGG2025       ,DISEÑO DE INFORMACIÓN,7.71
DIGG2026       ,DISEÑO DE MARCA,8.46
DIGG2027       ,DISEÑO EDITORIAL,8.10
DIGG2028       ,DISEÑO ESTRATÉGICO,8.27
DIGG2029       ,DISEÑO GRÁFICO I,7.63
DIGG2030       ,DISEÑO GRÁFICO II,8.13
DIGG2031       ,DISEÑO GRÁFICO III,8.29
DIGG2032       ,DISEÑO GRÁFICO IV,8.24
DIGG2033       ,HISTORIA DEL DISEÑO,6.81
DIGG2034       ,MATERIA INTEGRADORA DE DISEÑO GRÁFICO,8.60
DIGG2035       ,PROYECTO DE DISEÑO,8.62
DIGG2036       ,TIPOGRAFÍA,7.66
DIGG2037       ,TÉCNICAS DE IMPRESIÓN,8.68
DIGG2039       ,REDACCIÓN CREATIVA,7.96
DIGG2040       ,ANTROPOLOGÍA DEL DISEÑO,6.70
DIGG2041       ,INVESTIGACIÓN APLICADA AL DISEÑO,7.74
DING2023       ,DISEÑO DE PRODUCTOS I,7.50
DING2024       ,DISEÑO DE PRODUCTOS II,7.49
DING2025       ,DISEÑO DE PRODUCTOS III,7.62
DING2026       ,DISEÑO DE PRODUCTOS IV,7.87
DING2027       ,DISEÑO DIGITAL,7.85
DING2028       ,ERGONOMÍA,8.17
DING2029       ,ESTRUCTURAS Y MECANISMOS I,7.14
DING2030       ,ESTRUCTURAS Y MECANISMOS II,7.05
DING2031       ,HISTORIA DEL DISEÑO INDUSTRIAL,7.71
DING2032       ,MATERIA INTEGRADORA DE DISEÑO DE PRODUCTOS,8.75
DING2033       ,MATERIALES Y MANUFACTURA I,7.30
DING2034       ,MATERIALES Y MANUFACTURA II,7.68
DING2035       ,MATERIALES Y MANUFACTURA III,8.62
DING2036       ,MODELADO TRIDIMENSIONAL,7.87
DING2037       ,PORTAFOLIO,8.32
DING2038       ,PROTOTIPADO AVANZADO,8.13
DING2039       ,TALLER DE DISEÑO I,8.34
DING2040       ,TALLER DE DISEÑO II,8.01
DING2041       ,TALLER DE DISEÑO III,8.36
DING2042       ,TALLER DE DISEÑO IV,8.32
DING2043       ,TEORÍA DEL DISEÑO,8.14
ECOG1008       ,PROYECTOS AGRÍCOLAS,8.57
ECOG1009       ,EVALUACIÓN DE PROYECTOS HIDROCARBURÍFEROS,8.27
ECOG2041       ,GESTIÓN DEL DISEÑO,8.50
ECOG2042       ,ANÁLISIS FINANCIERO,8.02
ECOG2043       ,CRECIMIENTO Y DESARROLLO ECONÓMICO,8.46
ECOG2044       ,ECONOMETRÍA I,8.05
ECOG2045       ,ECONOMETRÍA II,7.22
ECOG2046       ,ECONOMETRÍA III,7.35
ECOG2047       ,ECONOMÍA GERENCIAL,7.99
ECOG2049       ,ECONOMÍA MATEMÁTICA,8.03
ECOG2051       ,FINANZAS INTERNACIONALES,8.46
ECOG2053       ,MATERIA INTEGRADORA DE ECONOMÍA,8.79
ECOG2054       ,PRESUPUESTO,7.87
ECOG2055       ,FUNDAMENTOS DE INVERSIONES,8.67
ECOG2057       ,FORMULACION Y EVALUACIÓN SOCIAL DE PROYECTOS,7.59
ECOG2058       ,FORMULACIÓN Y EVALUACIÓN DE PROYECTOS,8.16
ECOG2059       ,MACROECONOMÍA III,8.40
ECOG2060       ,MICROECONOMÍA III,7.48
ECOG2061       ,MACROECONOMÍA II,8.38
ECOG2062       ,MICROECONOMÍA II,7.45
ECOG2063       ,MACROECONOMÍA I,8.71
ECOG2064       ,MICROECONOMÍA I,7.74
ECOG2065       ,GESTIÓN TRIBUTARIA,7.71
ECOG2066       ,PLANIFICACIÓN Y CONTROL FINANCIERO,7.69
ECOG2067       ,INTRODUCCIÓN A LA ECONOMÍA,7.79
ECOG2068       ,ORGANIZACIÓN INDUSTRIAL,7.44
ECOG2069       ,HISTORIA Y FILOSOFÍA DEL PENSAMIENTO ECONÓMICO,8.01
EDCOM00281     ,GESTIÓN Y CONTROL DE PROYECTOS,8.05
ELEG1028       ,ANÁLISIS DE REDES ELÉCTRICAS,6.91
ELEG1029       ,CENTRALES ELÉCTRICAS,7.38
ELEG1030       ,CIRCUITOS ELÉCTRICOS,7.04
ELEG1031       ,CONTROLES ELÉCTRICOS INDUSTRIALES,7.38
ELEG1032       ,DISTRIBUCIÓN ELÉCTRICA I,7.83
ELEG1033       ,DISTRIBUCIÓN ELÉCTRICA II,8.53
ELEG1034       ,ELECTRICIDAD BÁSICA,7.44
ELEG1035       ,ENERGÍAS RENOVABLES,7.47
ELEG1036       ,ESTABILIDAD Y CONTROL DE SISTEMAS DE POTENCIA,7.80
ELEG1037       ,GESTIÓN Y MARCO REGULATORIO DEL SECTOR ELÉCTRICO,8.18
ELEG1038       ,INSTALACIONES ELÉCTRICAS,8.40
ELEG1039       ,LÍNEAS DE TRANSMISIÓN Y SUBESTACIONES,8.25
ELEG1040       ,MAQUINARIA ELÉCTRICA I,7.53
ELEG1041       ,MAQUINARIA ELÉCTRICA II,7.31
ELEG1042       ,MATERIA INTEGRADORA DE ELECTRICIDAD,9.33
ELEG1043       ,MÁQUINAS Y TRANSFORMADORES,7.25
ELEG1044       ,OPERACIÓN DE SISTEMAS DE POTENCIA,6.65
ELEG1046       ,PLANIFICACIÓN DE SISTEMAS DE POTENCIA,7.79
ELEG1047       ,PROTECCIONES ELÉCTRICAS,7.04
ELEG1049       ,SISTEMAS DE POTENCIA I,7.58
ELEG1050       ,SISTEMAS DE POTENCIA II,7.71
ELEG1051       ,TEORÍA ELECTROMAGNÉTICA,7.28
ELET3001       ,INSTALACIONES ELÉCTRICAS DE BAJA TENSIÓN,9.01
ELET3002       ,MEDICIONES ELÉCTRICAS,8.96
ELET3003       ,CONTROLES ELÉCTRICOS,8.34
ELET3004       ,MÁQUINAS ELÉCTRICAS,8.43
ESTG1033       ,GEOESTADISTICA,8.48
ESTG1034       ,ESTADÍSTICA,7.21
ESTG1035       ,INTRODUCCIÓN A LA ESTADÍSTICA,8.28
ESTG1036       ,ESTADÍSTICA I,7.10
ESTG1037       ,ESTADÍSTICA II,7.31
ESTG1038       ,MEDIDA Y PROBABILIDAD,7.12
ESTG1039       ,ESTADÍSTICA MATEMÁTICA,7.11
ESTG1040       ,TÉCNICAS DE MUESTREO Y ANÁLISIS MULTIVARIADO,8.40
ESTG1041       ,MUESTREO,6.73
ESTG1042       ,ESTADÍSTICA MULTIVARIANTE,8.20
ESTG1043       ,CONTROL ESTADÍSTICO DE PROCESOS,9.14
ESTG1044       ,DATOS CATEGÓRICOS,9.16
ESTG1045       ,MODELOS ESTADÍSTICOS APLICADOS I,7.69
ESTG1046       ,MODELOS ESTADÍSTICOS APLICADOS II,8.03
ESTG1047       ,ESTADÍSTICA BAYESIANA,8.49
ESTG1048       ,PROCESOS ESTOCÁSTICOS,8.07
ESTG1049       ,INGENIERÍA DE DATOS,8.40
ESTG1050       ,DISEÑO DE EXPERIMENTOS,8.75
ESTG1051       ,SERIES DE TIEMPO,8.69
ESTG1052       ,ESTADÍSTICA COMPUTACIONAL,7.57
ESTG1054       ,MÉTODOS ROBUSTOS Y NO PARAMÉTRICOS,7.65
ESTG1055       ,APRENDIZAJE ESTADÍSTICO,8.31
ESTG1056       ,DATOS NO ESTRUCTURADOS,8.32
ESTG1057       ,SIMULACIÓN MATEMÁTICA,7.70
ESTG1062       ,MATERIA INTEGRADORA DE ESTADÍSTICA,9.84
ESTG1063       ,BIOESTADÍSTICA,8.30
ESTG2004       ,ESTADÍSTICA,7.19
ESTT3002       ,METROLOGÍA,8.85
ESTT3003       ,ESTADÍSTICA,8.63
EYAG1027       ,APLICACIONES ELECTRÓNICAS,7.03
EYAG1028       ,AUTOMATIZACIÓN DE PROCESOS INDUSTRIALES,8.74
EYAG1029       ,COMUNICACIONES INDUSTRIALES Y SISTEMAS SCADA,8.71
EYAG1030       ,CONTROL AVANZADO,7.32
EYAG1034       ,ELECTRÓNICA,7.29
EYAG1035       ,ELECTRÓNICA DE POTENCIA I,7.82
EYAG1036       ,ELECTRÓNICA DE POTENCIA II,8.34
EYAG1037       ,FUNDAMENTOS DE ELECTRICIDAD Y SISTEMAS DIGITALES,8.04
EYAG1038       ,INSTRUMENTACIÓN INDUSTRIAL,8.35
EYAG1039       ,MATERIA INTEGRADORA DE ELECTRÓNICA Y AUTOMATIZACIÓN,9.50
EYAG1040       ,PRINCIPIOS DE ELECTRÓNICA,7.03
EYAG1041       ,PROGRAMACIÓN APLICADA A LA AUTOMATIZACIÓN,7.75
EYAG1042       ,ROBÓTICA INDUSTRIAL,8.04
EYAG1043       ,SISTEMAS DE CONTROL,7.33
EYAG1044       ,SISTEMAS DIGITALES I,7.58
EYAG1045       ,SISTEMAS DIGITALES II,7.35
EYAG1046       ,SISTEMAS EMBEBIDOS,8.24
EYAT3001       ,INSTRUMENTACIÓN,8.44
EYAT3002       ,CONTROL DE POTENCIA,8.08
EYAT3003       ,CONTROLES INDUSTRIALES,9.12
EYAT3004       ,CONTROL PROGRAMABLE,8.18
FISG1005       ,FÍSICA: MECÁNICA,6.80
FISG1006       ,FÍSICA: ELECTRICIDAD Y MAGNETISMO,6.95
FISG1007       ,FÍSICA: ELECTRÓNICA Y ÓPTICA,7.49
FISG1008       ,FÍSICA: TERMODINÁMICA Y ELECTRÓNICA,7.26
FISG1009       ,FÍSICA: TERMODINÁMICA Y ÓPTICA,7.44
FISG2002       ,FÍSICA GENERAL,7.47
GEOG1026       ,DEPÓSITOS MINERALES,7.96
GEOG1027       ,DISEÑO DE CAMPO GEOLÓGICO,8.64
GEOG1028       ,ESTRATIGRAFIA Y SEDIMENTACIÓN,8.28
GEOG1029       ,EVALUACIÓN DE YACIMIENTOS MINERALES,8.55
GEOG1030       ,GEOLOGIA DE ECUADOR,8.74
GEOG1031       ,GEOLOGÍA DEL PETRÓLEO,8.89
GEOG1032       ,GEOLOGÍA ESTRUCTURAL,7.66
GEOG1033       ,GEOLOGÍA GENERAL,8.19
GEOG1034       ,GEOMORFOLOGIA,8.58
GEOG1035       ,GEOQUIMICA,8.71
GEOG1036       ,HIDROGEOLOGÍA,8.13
GEOG1037       ,INGENIERÍA GEOLÓGICA,8.18
GEOG1038       ,LEGISLACIÓN Y MITIGACIÓN AMBIENTAL,8.99
GEOG1039       ,MATERIA INTEGRADORA DE GEOLOGÍA,9.07
GEOG1040       ,MÉTODOS GEOFÍSICOS,8.10
GEOG1041       ,MINERALOGÍA,6.79
GEOG1042       ,MINERALOGÍA ÓPTICA,8.30
GEOG1044       ,PALEONTOLOGÍA APLICADA,8.41
GEOG1045       ,PETROLOGIA SEDIMENTARIA,7.67
GEOG1046       ,PETROLOGÍA ÍGNEA Y METAMÓRFICA,8.46
GEOG1047       ,SISTEMAS DE INFORMACIÓN GEOGRÁFICA,7.97
GEOG1048       ,TECTONICA,8.04
GEOG1050       ,VULNERABILIDAD Y RIESGO GEOLÓGICO,8.10
GEOG1051       ,MECÁNICA DE MATERIALES GEOLÓGICOS,8.08
GEOG1052       ,GEOLOGÍA PARA INGENIEROS EN PETRÓLEO,8.71
HISG2002       ,INTRODUCCIÓN A LA HISTORIA Y ETNOHISTORIA,8.16
IDIG1006       ,INGLÉS I,7.48
IDIG1007       ,INGLÉS II,7.49
IDIG1008       ,INGLÉS III,7.83
IDIG1009       ,INGLÉS IV,7.71
IDIG1010       ,INGLÉS V,7.60
IDIG1802       ,INGLÉS I,7.58
IDIG1806       ,INGLÉS II,6.97
IDIG2012       ,COMUNICACIÓN,8.17
IDIT3002       ,COMUNICACIÓN,8.90
IDIT3003       ,INGLÉS TÉCNICO I,8.49
IDIT3004       ,INGLÉS TÉCNICO II,9.75
INDG1033       ,ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS,8.58
INDG1034       ,ANÁLISIS DE VALOR DE PRODUCTO,8.43
INDG1035       ,DISEÑO DE PLANTAS,7.95
INDG1037       ,GESTIÓN DE LA CADENA DE SUMINISTRO SOSTENIBLE,7.66
INDG1039       ,INGENIERÍA DE MÉTODOS,8.08
INDG1040       ,INTRODUCCIÓN A LA INGENIERÍA INDUSTRIAL,8.00
INDG1041       ,INVESTIGACIÓN DE OPERACIONES,7.51
INDG1042       ,LOGÍSTICA Y SERVICIO AL CLIENTE,7.65
INDG1043       ,MATERIA INTEGRADORA DE INGENIERÍA INDUSTRIAL,8.64
INDG1044       ,METODOLOGÍAS PARA LA MEJORA CONTINUA,8.13
INDG1045       ,MODELOS ESTOCÁSTICOS PARA MANUFACTURA Y SERVICIOS,7.85
INDG1046       ,MÉTODOS DE ANALÍTICA PARA LA INDUSTRIA,8.62
